                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.81748,                 0.5291,                 1.2122,                0.97499,                0.97173,                0.99245,                0.84721,                0.61862,                0.43242,                 1.0628,              0.0014535,              0.0014535,              0.0014535
                    141,                0.83092,                0.55674,                 1.2105,                0.98293,                0.98587,                0.99425,                0.83988,                0.67044,                0.43865,                 1.1013,              0.0014496,              0.0014496,              0.0014496
                    142,                0.82388,                0.60033,                 1.2335,                0.95892,                 0.9788,                0.99014,                 0.8427,                 0.6677,                 0.4757,                 1.0906,              0.0014456,              0.0014456,              0.0014456
                    143,                0.79093,                0.57122,                 1.2352,                0.98929,                0.97926,                0.99461,                0.86102,                0.64142,                0.42833,                 1.0803,              0.0014416,              0.0014416,              0.0014416
                    144,                0.80053,                0.55149,                   1.21,                  0.969,                0.98587,                0.99301,                0.83248,                0.69686,                0.44263,                 1.1017,              0.0014377,              0.0014377,              0.0014377
                    145,                0.81195,                0.54909,                 1.2502,                0.96218,                0.96466,                 0.9904,                0.82297,                0.69978,                0.48246,                 1.1044,              0.0014337,              0.0014337,              0.0014337
                    146,                0.82801,                0.54391,                 1.2327,                0.96822,                0.96891,                0.99076,                 0.8256,                0.69455,                 0.4567,                  1.117,              0.0014298,              0.0014298,              0.0014298
                    147,                0.80247,                0.53721,                 1.2048,                0.97222,                0.98587,                0.99248,                0.82955,                0.67895,                 0.4543,                 1.1014,              0.0014258,              0.0014258,              0.0014258
                    148,                0.81627,                0.53335,                  1.221,                0.99287,                0.98387,                0.99339,                0.84825,                0.64182,                0.43457,                 1.0837,              0.0014218,              0.0014218,              0.0014218
                    149,                0.80203,                 0.5507,                  1.207,                0.97201,                0.98178,                0.99375,                0.83463,                0.67301,                0.46599,                  1.096,              0.0014179,              0.0014179,              0.0014179
